name,bus,generator,storage_type,energy_capacity,initial_state_of_charge,end_state_of_charge,minimum_state_of_charge,charge_efficiency,discharge_efficiency,max_discharge_rate,min_discharge_rate,max_charge_rate,min_charge_rate,initial_charge_rate,initial_discharge_rate,charge_cost,discharge_cost,retention_rate_60min,ramp_up_input_60min,ramp_down_input_60min,ramp_up_output_60min,ramp_down_output_60min,in_service,capital_multiplier,extension_multiplier,investment_cost,investment_cost_kwh
ES1 0 hydro,ES1 0,,,86531846.251,,,0,0.0,0.9,9852.197,0,9852.197,0,,,0,0,1,,,,,True,,,231987.99277992995,
FI2 0 hydro,FI2 0,,,13771744.0,,,0,0.0,0.9,1568.0,0,1568.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
FR1 0 hydro,FR1 0,,,1220837.0,,,0,0.0,0.9,139.0,0,139.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
FR1 1 hydro,FR1 1,,,26512956.792356685,,,0,0.0,0.9,3018.6675159235665,0,3018.6675159235665,0,,,0,0,1,,,,,True,,,231987.99277992995,
FR1 2 hydro,FR1 2,,,46245320.105095536,,,0,0.0,0.9,5265.3216560509545,0,5265.3216560509545,0,,,0,0,1,,,,,True,,,231987.99277992995,
FR5 0 hydro,FR5 0,,,821238.4713375788,,,0,0.0,0.9,93.5031847133757,0,93.5031847133757,0,,,0,0,1,,,,,True,,,231987.99277992995,
GB0 0 hydro,GB0 0,,,38645.200000000004,,,0,0.0,0.9,4.4,0,4.4,0,,,0,0,1,,,,,True,,,231987.99277992995,
GB0 1 hydro,GB0 1,,,3359497.5,,,0,0.0,0.9,382.5,0,382.5,0,,,0,0,1,,,,,True,,,231987.99277992995,
GR1 0 hydro,GR1 0,,,22677706.0,,,0,0.0,0.9,2582.0,0,2582.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
HR1 0 hydro,HR1 0,,,12361233.359872613,,,0,0.0,0.9,1407.4044585987263,0,1407.4044585987263,0,,,0,0,1,,,,,True,,,231987.99277992995,
HU1 0 hydro,HU1 0,,,245924.0,,,0,0.0,0.9,28.0,0,28.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
IE6 0 hydro,IE6 0,,,395235.0,,,0,0.0,0.9,45.0,0,45.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
IT1 0 hydro,IT1 0,,,38992901.40400001,,,0,0.0,0.9,4439.588000000001,0,4439.588000000001,0,,,0,0,1,,,,,True,,,231987.99277992995,
IT1 1 hydro,IT1 1,,,7550393.779999999,,,0,0.0,0.9,859.66,0,859.66,0,,,0,0,1,,,,,True,,,231987.99277992995,
IT3 0 hydro,IT3 0,,,1340461.46,,,0,0.0,0.9,152.62,0,152.62,0,,,0,0,1,,,,,True,,,231987.99277992995,
LT7 0 hydro,LT7 0,,,887083.0,,,0,0.0,0.9,101.0,0,101.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
ME1 0 hydro,ME1 0,,,3003786.0,,,0,0.0,0.9,342.0,0,342.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
MK1 0 hydro,MK1 0,,,3258493.0,,,0,0.0,0.9,371.0,0,371.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
NO2 0 hydro,NO2 0,,,273105013.59000003,,,0,0.0,0.9,31094.730000000003,0,31094.730000000003,0,,,0,0,1,,,,,True,,,231987.99277992995,
PL1 0 hydro,PL1 0,,,1436076.442675159,,,0,0.0,0.9,163.50636942675158,0,163.50636942675158,0,,,0,0,1,,,,,True,,,231987.99277992995,
PT1 0 hydro,PT1 0,,,15495846.900000002,,,0,0.0,0.9,1764.3000000000002,0,1764.3000000000002,0,,,0,0,1,,,,,True,,,231987.99277992995,
RO1 0 hydro,RO1 0,,,31372349.02,,,0,0.0,0.9,3571.94,0,3571.94,0,,,0,0,1,,,,,True,,,231987.99277992995,
RS1 0 hydro,RS1 0,,,13256181.9,,,0,0.0,0.9,1509.3,0,1509.3,0,,,0,0,1,,,,,True,,,231987.99277992995,
SE2 0 hydro,SE2 0,,,108069214.28319156,,,0,0.0,0.9,12304.362323032172,0,12304.362323032172,0,,,0,0,1,,,,,True,,,231987.99277992995,
SI1 0 hydro,SI1 0,,,2258987.6,,,0,0.0,0.9,257.2,0,257.2,0,,,0,0,1,,,,,True,,,231987.99277992995,
SK1 0 hydro,SK1 0,,,1101388.2,,,0,0.0,0.9,125.4,0,125.4,0,,,0,0,1,,,,,True,,,231987.99277992995,
XK1 0 hydro,XK1 0,,,307405.0,,,0,0.0,0.9,35.0,0,35.0,0,,,0,0,1,,,,,True,,,231987.99277992995,
