AL1 0,AT1 0,BA1 0,BE1 0,BG1 0,CH1 0,CZ1 0,DE1 0,DE1 1,DE1 2,DE1 3,DE1 4,DE1 5,DK1 0,DK2 0,EE7 0,ES1 0,ES4 0,FI2 0,FR1 0,FR1 1,FR1 2,FR1 3,FR1 4,FR5 0,GB0 0,GB0 1,GB6 0,GR1 0,HR1 0,HU1 0,IE6 0,IT1 0,IT1 1,IT3 0,LT7 0,LU1 0,LV7 0,ME1 0,MK1 0,NL1 0,NO2 0,PL1 0,PT1 0,RO1 0,RS1 0,SE2 0,SI1 0,SK1 0,XK1 0
982.0000076293945,6745.699981689453,1418.0499877929688,8651.022491455078,4493.0,7544.69002532959,6372.950004577637,9123.486358642578,11754.70514678955,7799.126991271973,4659.53263092041,8591.55428314209,4733.834579467773,2678.780731201172,1032.9192810058594,849.1999969482422,22221.832122802734,950.1678924560547,9676.900001525879,7083.623352050781,6791.410179138184,17248.079109191895,10195.74104309082,18753.582328796387,170.5640640258789,25686.950508117676,9593.424644470215,999.1057968139648,6656.940002441406,1983.9999923706055,3986.8300170898438,2866.5700149536133,16934.5,6865.946823120117,90.55314636230469,1231.8099899291992,489.8725128173828,723.0000076293945,445.0,950.0,12466.270004272461,17192.18999481201,14645.189964294434,4712.0,5595.9999923706055,5232.0,16400.000022888184,1339.0299987792969,3076.0000076293945,1052.3600006103516
964.0,6699.800003051758,1405.890007019043,8760.57250213623,4400.0000076293945,7486.559967041016,6359.950004577637,9382.911079406738,12088.948097229004,8020.893760681152,4792.025611877441,8835.853622436523,4868.440330505371,2726.9406127929688,1051.4893951416016,866.1999969482422,22793.393112182617,974.6068649291992,9684.299995422363,7403.805030822754,7098.383758544922,18027.696968078613,10656.591285705566,19601.249351501465,178.2736053466797,27203.39279937744,10159.777374267578,1058.0885162353516,6326.149993896484,1952.0000076293945,4045.4350051879883,3102.859992980957,17062.797073364258,6917.963752746582,91.23917388916016,1240.740005493164,503.51499938964844,729.0,439.0,960.0,12610.51750946045,17295.679985046387,15126.639991760254,5079.599998474121,5611.000015258789,5289.9999923706055,16539.999992370605,1311.8999938964844,3031.0000076293945,1075.849998474121
946.0000076293945,6533.900001525879,1431.620002746582,8782.317497253418,4323.9999923706055,7806.469985961914,6421.06999206543,9330.939392089844,12021.98779296875,7976.466285705566,4765.482727050781,8786.912078857422,4841.474212646484,2698.9309463500977,1040.689064025879,866.0,23324.67635345459,997.3236312866211,9774.800010681152,7300.330993652344,6999.178184509277,17775.745559692383,10507.656929016113,19327.306259155273,175.78208923339844,28250.069618225098,10550.684631347656,1098.7994918823242,5740.07999420166,1852.0,4055.297477722168,3294.474983215332,16385.8706741333,6643.509819030762,87.61947631835938,1247.9599990844727,499.91500091552734,726.0000076293945,427.0,961.0,12679.28500366211,17366.78000640869,15676.050018310547,5252.900009155273,5616.0,5237.0000076293945,16733.99998474121,1272.1799926757812,3022.999984741211,1063.8899993896484
938.9999923706055,6452.399993896484,1440.2699966430664,8569.147521972656,4350.999984741211,7720.049987792969,6375.349998474121,9020.02791595459,11621.40926361084,7710.6865310668945,4606.694519042969,8494.127868652344,4680.15389251709,2678.4126510620117,1032.77734375,909.5000076293945,23289.19354248047,995.8064498901367,10113.000007629395,6993.553871154785,6705.056213378906,17028.766876220703,10066.10041809082,18515.12728881836,168.39531707763672,28572.600593566895,10671.14175415039,1111.344467163086,5721.830001831055,1775.9999923706055,4143.809989929199,3374.6250076293945,15846.456062316895,6424.8088302612305,84.73509216308594,1258.9800109863281,492.0025100708008,744.0,418.0,1068.9999923706055,12794.400001525879,17581.859985351562,15778.699974060059,5004.0000076293945,5693.9999923706055,5136.9999923706055,16879.000007629395,1248.9700012207031,3010.9999771118164,1044.5499954223633
941.0000076293945,6531.700012207031,1481.6300048828125,8655.372497558594,4548.0000076293945,7594.199966430664,6551.379989624023,9047.82723236084,11657.225898742676,7734.45051574707,4620.892112731934,8520.306381225586,4694.5778884887695,2753.2325897216797,1061.6274032592773,969.0,22103.875762939453,945.124267578125,10327.999984741211,6808.123626708984,6527.275314331055,16577.25845336914,9799.203323364258,18024.208862304688,163.93040466308594,28743.15934753418,10734.841110229492,1117.9784393310547,5812.959991455078,1750.0,4264.352508544922,3324.1749877929688,16177.47663116455,6559.018249511719,86.50514221191406,1356.9900131225586,486.8475036621094,814.0,420.0,1078.9999923706055,12970.057487487793,17963.40998840332,15864.66000366211,4761.800018310547,5925.0,5134.000015258789,17390.999969482422,1269.8100051879883,2940.0,1047.150001525879
1009.0000076293945,6942.200004577637,1606.9599838256836,8819.334999084473,4957.0,7234.180030822754,6845.90998840332,9594.2036819458,12361.177627563477,8201.515296936035,4899.936653137207,9034.827110290527,4978.072128295898,2947.207290649414,1136.4226989746094,961.3999938964844,21682.876983642578,927.1230697631836,10374.0,6816.354530334473,6535.166679382324,16597.300064086914,9811.050354003906,18045.99977874756,164.12859344482422,29283.26205444336,10936.555793762207,1138.985984802246,5984.309997558594,1889.0000076293945,4627.732498168945,3278.7550048828125,17126.591148376465,6943.828536987305,91.5802993774414,1409.5499954223633,498.3475036621094,832.9999847412109,450.0,1057.0,13356.35498046875,18086.039993286133,17042.989952087402,4715.799987792969,6526.000015258789,5459.0,18043.00001525879,1338.129997253418,3091.0,1114.4999923706055
1070.000015258789,7399.0,1686.8400039672852,9389.757522583008,5191.0,6739.950012207031,7040.15998840332,10371.977783203125,13363.262214660645,8866.388191223145,5297.160232543945,9767.254188537598,5381.629905700684,3172.4610290527344,1223.2789764404297,960.5,22147.98950958252,947.010498046875,10399.999984741211,7169.342185974121,6873.592926025391,17456.797966003418,10319.119567871094,18980.519248962402,172.62805938720703,30793.873237609863,11500.730773925781,1197.7418975830078,6424.169990539551,2114.0000076293945,4781.092498779297,3458.2800064086914,19621.649559020996,7955.428405761719,104.9220199584961,1407.6800003051758,529.1875,831.0000076293945,474.0,1073.999984741211,14214.062507629395,17908.369987487793,17353.36001586914,4797.899993896484,6650.9999923706055,5592.0000076293945,18139.999977111816,1444.349998474121,3139.0000076293945,1107.729995727539
1063.0,7427.300003051758,1651.1999969482422,9490.512496948242,5127.0000076293945,7246.520004272461,6983.720001220703,10533.329223632812,13571.147552490234,9004.317970275879,5379.565368652344,9919.198257446289,5465.349136352539,3077.4259033203125,1186.6340942382812,946.5000152587891,24297.097282409668,1038.902702331543,10315.000030517578,7550.432502746582,7238.962547302246,18384.723609924316,10867.63801574707,19989.43910217285,181.80419921875,31535.512329101562,11777.71411895752,1226.588279724121,6448.519996643066,2151.0,4756.427505493164,3766.825019836426,20307.790649414062,8233.618362426758,108.59099578857422,1389.0599975585938,540.9649963378906,817.9999923706055,477.0,1060.9999923706055,13744.549987792969,17644.950004577637,17432.140029907227,5442.099990844727,6655.0,5597.999984741211,17732.000022888184,1511.1900024414062,3184.9999923706055,1087.650001525879
1036.0000076293945,7259.100021362305,1633.4800033569336,9335.095008850098,4999.000022888184,7341.089973449707,6960.590003967285,10291.41300201416,13259.462524414062,8797.518180847168,5256.014320373535,9691.386611938477,5339.827896118164,2898.376235961914,1117.5937805175781,929.7999877929688,25517.89793395996,1091.1020812988281,10080.0,7667.311172485352,7351.019752502441,18669.31423187256,11035.86614227295,20298.870292663574,184.61847686767578,29891.150939941406,11163.586860656738,1162.6300964355469,6425.149993896484,2174.9999923706055,4767.694999694824,3782.930000305176,20624.63468170166,8362.080062866211,110.28524017333984,1363.6399993896484,533.4474945068359,809.0,477.0,1057.0,13611.587516784668,17545.269989013672,17496.409965515137,6069.899993896484,6552.9999923706055,5593.0000076293945,17425.000030517578,1485.849998474121,3161.0,1092.4499969482422
995.0000152587891,6901.0,1619.4500122070312,9141.140014648438,4820.999984741211,7168.8900146484375,6887.729995727539,9877.178489685059,12725.762557983398,8443.413703918457,5044.457122802734,9301.303489685059,5124.897155761719,2749.761161804199,1060.2888412475586,899.5,26424.14817047119,1129.8517990112305,9674.300003051758,7480.352333068848,7171.773338317871,18214.08380126953,10766.76887512207,19803.904960632324,180.11676025390625,28608.315856933594,10684.480514526367,1112.733642578125,6232.869987487793,2168.9999923706055,4685.26749420166,3630.6650009155273,20189.417121887207,8185.6248779296875,107.95802307128906,1306.3300018310547,513.3699951171875,780.0,471.0,1039.0000076293945,13263.952491760254,17217.28998565674,17222.5,6258.0000076293945,6355.0000076293945,5487.9999923706055,16945.0,1466.7800064086914,3163.9999923706055,1068.860008239746
